,user,business,rating
0,2118,11172,5
1,2118,5781,5
2,2118,5390,4
3,2118,3913,4
4,2118,7187,4
5,2118,3558,4
6,2118,12609,3
7,2118,7016,3
8,2118,2109,5
9,2118,9565,4
10,2118,11252,5
11,2118,11545,3
12,2118,731,3
13,2118,10310,4
14,2118,4752,5
15,2118,59,3
16,2118,5454,5
17,2118,12275,5
18,2118,4069,4
19,2118,5726,4
20,2118,4326,4
21,2118,3435,5
22,2118,8774,5
23,2118,2045,3
24,2118,10530,4
25,2118,5765,5
26,2118,9912,4
27,2118,4962,4
28,2118,7577,4
29,2118,12506,4
30,2118,145,5
31,2118,11584,3
32,2118,8995,5
33,2118,890,4
34,2118,11709,3
35,2153,3365,4
36,2153,5612,4
37,2153,10370,4
38,2153,1765,4
39,2153,9265,4
40,2153,7187,2
41,2153,5033,3
42,2153,12672,5
43,2153,7577,4
44,2153,8786,4
45,2153,11367,4
46,2153,731,4
47,2153,7525,4
48,2153,8010,3
49,2153,12096,5
50,2153,8467,4
51,2153,8544,3
52,2153,114,4
53,2153,4326,3
54,2153,844,4
55,2153,4962,4
56,2153,5799,3
57,2153,725,4
58,2153,6765,5
59,2153,89,4
60,2153,12625,5
61,2153,7694,5
62,2153,10963,3
63,2153,4064,3
64,2153,963,3
65,2153,12392,5
66,2153,10496,5
67,2153,4362,5
68,2153,12616,5
69,2153,4616,5
70,2153,1933,4
71,2153,10892,5
72,2153,9943,3
73,2153,1079,4
74,2282,5996,5
75,2282,11075,5
76,2282,5453,5
77,2282,6487,4
78,2282,5303,5
79,2282,12503,4
80,2282,1670,3
81,2282,3988,3
82,2282,12009,5
83,2282,1690,5
84,2282,12687,5
85,2282,3778,5
86,2282,4065,4
87,2282,3325,5
88,2282,4373,4
89,2282,4351,5
90,2282,735,5
91,2282,3845,3
92,2282,9321,4
93,2282,9540,5
94,2282,2643,5
95,2282,3088,4
96,2282,3937,5
97,2282,4300,4
98,2282,9236,3
99,2282,4709,5
100,2282,4276,5
101,2282,417,4
102,2282,8010,4
103,2282,3468,4
104,2282,9126,5
105,2282,7746,5
106,2291,11388,4
107,2291,1011,4
108,2291,1670,3
109,2291,11508,5
110,2291,11545,5
111,2291,620,4
112,2291,9063,5
113,2291,8800,5
114,2291,7016,4
115,2291,4962,5
116,2291,5043,4
117,2291,3299,4
118,2291,6007,4
119,2291,4526,5
120,2291,7832,4
121,2291,10913,4
122,2291,2727,5
123,2291,7581,5
124,2291,8467,4
125,2291,8228,5
126,2291,12756,5
127,2291,9614,5
128,2291,5968,4
129,2291,538,3
130,2291,4351,5
131,2291,9197,5
132,2291,553,5
133,2291,5461,4
134,2291,10706,5
135,2291,1299,4
136,2291,1690,5
137,2300,7497,5
138,2300,6891,4
139,2300,6615,5
140,2300,5820,5
141,2300,4616,4
142,2300,1294,4
143,2300,12293,4
144,2300,5333,5
145,2300,11103,4
146,2300,6566,5
147,2300,1076,4
148,2300,8142,4
149,2300,2973,5
150,2300,2044,5
151,2300,10908,4
152,2300,3566,3
153,2300,7552,5
154,2300,455,5
155,2300,6271,4
156,2300,478,5
157,2300,735,5
158,2300,1258,5
159,2300,7553,4
160,2300,1670,4
161,2300,10832,4
162,2300,7669,5
163,2300,9235,5
164,2302,1080,5
165,2302,12184,5
166,2302,3214,5
167,2302,10579,4
168,2302,6347,5
169,2302,11334,5
170,2302,3238,5
171,2302,10530,5
172,2302,7008,3
173,2302,5360,5
174,2302,7452,4
175,2302,5629,4
176,2302,10094,5
177,2302,5659,5
178,2302,3417,5
179,2302,2295,3
180,2302,7497,5
181,2302,7749,4
182,2302,124,4
183,2302,2642,5
184,2302,11313,5
185,2302,7364,3
186,2302,12428,4
187,2302,12776,5
188,2302,9793,5
189,2302,1153,5
190,2302,2917,4
191,2302,12406,4
192,2302,8329,5
193,2302,5713,5
194,2302,9989,4
195,2302,11760,4
196,2302,7284,5
197,2319,5806,4
198,2319,1083,3
199,2319,10841,4
200,2319,3558,3
201,2319,4405,4
202,2319,3299,5
203,2319,4362,3
204,2319,9565,3
205,2319,9005,4
206,2319,4827,3
207,2319,7862,5
208,2319,10066,4
209,2319,2067,4
210,2319,3026,4
211,2319,7806,3
212,2319,4249,3
213,2319,1962,4
214,2319,10347,3
215,2319,2237,3
216,2319,7322,3
217,2319,7540,3
218,2319,3435,5
219,2319,9394,5
220,2319,855,3
221,2319,9912,3
222,2319,3338,3
223,2319,3963,3
224,2319,10502,3
225,2319,1723,4
226,2319,3778,4
227,2357,8063,4
228,2357,2111,5
229,2357,1153,5
230,2357,6940,4
231,2357,7845,5
232,2357,7121,5
233,2357,12107,4
234,2357,12871,5
235,2357,6511,3
236,2357,9865,5
237,2357,1572,4
238,2357,9554,4
239,2357,3995,5
240,2357,5007,4
241,2357,383,3
242,2357,9500,5
243,2357,10962,5
244,2357,1115,4
245,2357,12704,4
246,2357,9163,5
247,2357,9619,5
248,2357,6635,5
249,2357,617,5
250,2357,6553,5
251,2357,2829,4
252,2357,12869,5
253,2357,8544,5
254,2357,12186,4
255,2357,11279,5
256,2357,4373,4
257,2357,3119,4
258,2357,7183,5
259,2357,6377,5
260,2364,5413,4
261,2364,8094,4
262,2364,12640,4
263,2364,12203,4
264,2364,12097,4
265,2364,8911,4
266,2364,2239,4
267,2364,10986,4
268,2364,2736,4
269,2364,901,3
270,2364,7363,3
271,2364,2768,4
272,2364,4032,4
273,2364,8803,5
274,2364,5590,3
275,2364,3633,4
276,2364,9420,4
277,2364,4932,4
278,2364,8800,5
279,2364,7304,4
280,2364,6093,4
281,2364,3566,5
282,2364,2594,3
283,2364,6769,4
284,2364,2443,5
285,2364,840,2
286,2364,12302,4
287,2364,12192,4
288,2364,130,5
289,2364,2006,3
290,2364,9554,4
291,2364,10403,5
292,2364,9565,3
293,2364,468,4
294,2367,7240,3
295,2367,4069,4
296,2367,6367,5
297,2367,1671,4
298,2367,11251,5
299,2367,5235,4
300,2367,6742,5
301,2367,9543,4
302,2367,11499,3
303,2367,4444,5
304,2367,3913,3
305,2367,4725,3
306,2367,9912,4
307,2367,3276,3
308,2367,6370,4
309,2367,1930,5
310,2367,11993,4
311,2367,8454,5
312,2367,9905,5
313,2367,5007,4
314,2367,7669,3
315,2367,3906,3
316,2367,6128,5
317,2367,12722,4
318,2367,12096,3
