,user,item,rating
0,72,5748,5
1,72,6229,5
2,72,6479,5
3,72,4858,5
4,72,16138,5
5,72,8621,5
6,72,7170,5
7,72,10950,4
8,72,9654,5
9,72,17825,5
10,72,8622,5
11,72,7169,5
12,72,7454,5
13,72,13597,5
14,72,10910,5
15,72,9653,5
16,72,10901,5
17,72,8662,5
18,73,8993,5
19,73,13941,4
20,73,14605,5
21,73,5510,5
22,73,16527,5
23,73,7204,5
24,73,6436,4
25,73,13368,3
26,183,6541,3
27,183,7938,3
28,183,7229,3
29,183,11876,4
30,183,5479,4
31,183,14975,5
32,183,3843,4
33,230,8468,4
34,230,22319,5
35,230,9901,4
36,230,17155,4
37,230,3312,5
38,230,3226,4
39,230,3828,5
40,230,15740,5
41,230,8961,5
42,230,6213,5
43,230,13184,3
44,230,9620,5
45,236,12754,5
46,236,4604,4
47,236,21268,4
48,236,13975,5
49,236,15209,5
50,236,4167,3
51,236,9782,5
52,264,6186,5
53,264,8130,5
54,264,7066,5
55,264,2929,4
56,264,5423,3
57,264,8370,5
58,264,3420,5
59,264,4516,5
60,264,11497,5
61,264,15785,3
62,287,9453,4
63,287,9309,4
64,287,2960,4
65,287,8494,5
66,287,2930,5
67,287,3024,4
68,287,15381,4
69,287,7064,4
70,320,4663,3
71,320,4531,4
72,320,19869,4
73,320,3706,5
74,320,7696,4
75,321,10794,4
76,321,9856,4
77,321,8087,4
78,321,9528,3
79,321,16498,3
80,321,5906,4
81,342,8492,4
82,342,11807,4
83,342,2990,3
84,342,7287,4
85,342,7745,3
86,342,8146,4
87,342,6063,4
88,342,19870,5
89,342,9395,4
90,369,9172,4
91,369,22176,4
92,369,4230,4
93,369,2992,3
94,369,19300,3
95,369,2501,4
96,369,12578,3
97,413,2364,4
98,413,2779,5
99,413,5197,4
100,413,2319,4
101,413,5356,4
102,413,21612,4
103,413,3338,4
104,459,8565,5
105,459,4871,4
106,459,12876,3
107,459,17443,4
108,459,6836,3
109,459,13895,4
110,459,3262,4
111,470,4437,3
112,470,18874,4
113,470,3309,3
114,470,13086,3
