,user,item,rating
0,6,123,3
1,6,272,4
2,6,2,3
3,6,4,4
4,6,199,4
5,6,351,4
6,6,246,2
7,6,2456,4
8,6,692,4
9,6,90,5
10,6,97,2
11,6,115,5
12,6,153,5
13,6,51,5
14,6,1,4
15,6,25,4
16,6,87,4
17,6,1255,3
18,6,748,5
19,6,144,5
20,6,10,4
21,6,263,3
22,8,443,2
23,8,121,5
24,8,769,4
25,8,830,4
26,8,1678,3
27,8,2412,4
28,8,19,4
29,8,1524,4
30,8,749,4
31,8,722,3
32,8,578,5
33,8,45,4
34,8,1040,4
35,8,28,3
36,8,771,4
37,8,823,4
38,8,451,4
39,8,1,5
40,15,706,5
41,15,552,4
42,15,1875,5
43,15,261,3
44,15,353,4
45,15,158,4
46,15,805,4
47,15,95,4
48,15,2511,3
49,15,733,4
50,15,703,4
51,15,4,4
52,15,630,4
53,15,45,4
54,15,53,4
55,15,11,4
56,15,526,4
57,15,9,4
58,15,713,4
59,15,307,4
60,20,169,3
61,20,1286,3
62,20,687,4
63,20,299,4
64,20,1103,5
65,20,2002,3
66,20,712,2
67,20,430,4
68,20,252,2
69,20,442,4
70,20,105,4
71,20,928,2
72,20,265,5
73,20,2456,3
74,20,249,2
75,20,646,3
76,28,225,4
77,28,42,4
78,28,17,4
79,28,28,4
80,28,157,4
81,28,4,4
82,28,6,5
83,28,254,4
84,28,228,4
85,28,11,4
86,28,31,5
87,28,65,4
88,28,20,4
89,28,1549,4
90,28,350,5
91,28,963,4
92,28,41,4
93,28,22,4
94,28,280,4
95,28,48,4
96,28,269,5
97,28,47,4
98,28,164,4
99,28,1006,4
100,28,335,4
101,28,33,5
102,28,223,5
103,28,80,4
104,28,40,4
105,28,2,4
106,28,1,4
107,28,474,5
108,28,64,4
109,28,554,4
110,28,43,4
111,28,50,4
112,28,606,4
113,28,277,4
114,28,145,4
115,28,13,4
116,28,27,4
117,28,79,4
118,28,83,5
119,29,1655,4
120,29,1394,5
121,29,123,4
122,29,1762,5
123,29,86,3
124,29,37,5
125,29,1114,5
126,29,5,3
127,29,17,4
128,29,60,5
129,29,508,5
130,29,11,4
131,29,2392,5
132,29,27,3
133,29,66,5
134,29,346,5
135,29,64,4
136,38,11,5
137,38,37,4
138,38,36,4
139,38,84,3
140,38,110,4
141,38,15,4
142,38,429,4
143,38,1101,5
144,38,345,5
145,38,804,5
146,38,2226,4
147,38,221,4
148,38,99,5
149,38,1,5
150,38,108,5
151,38,6,4
152,43,1369,4
153,43,278,5
154,43,67,4
155,43,161,3
156,43,315,3
157,43,258,4
158,43,89,3
159,43,1876,3
160,43,274,3
161,43,25,5
162,43,899,4
163,43,101,4
164,43,1130,4
165,43,1039,4
166,43,895,5
167,43,373,4
168,43,381,3
169,43,29,4
170,43,109,4
171,43,602,3
172,43,387,5
173,43,393,5
174,43,516,4
175,43,608,5
176,57,953,4
177,57,231,5
178,57,399,5
179,57,259,4
180,57,2035,5
181,57,584,4
182,57,120,4
183,57,1209,5
184,57,2069,5
185,57,56,5
186,57,9,5
187,57,59,4
188,57,1862,5
189,57,184,5
190,57,2426,5
191,57,385,5
192,57,2020,5
193,57,1210,5
194,57,1001,4
195,57,414,4
196,57,602,5
197,57,35,5
198,57,555,5
199,57,1063,5
200,57,224,5
201,57,513,5
202,57,433,5
203,72,233,4
204,72,40,4
205,72,86,3
206,72,23,4
207,72,287,4
208,72,41,4
209,72,321,4
210,72,31,4
211,72,299,4
212,72,71,4
213,72,252,4
214,72,119,4
215,72,2277,3
216,72,204,4
217,72,2110,4
218,72,55,4
219,72,877,4
220,77,658,4
221,77,1042,3
222,77,377,4
223,77,54,4
224,77,4,5
225,77,302,4
226,77,30,4
227,77,285,4
228,77,63,4
229,77,760,3
230,77,923,5
231,77,22,4
232,77,3,3
233,77,210,5
234,77,2,5
235,77,81,4
236,77,107,4
237,77,14,4
238,77,135,4
239,77,1104,5
240,77,68,4
241,77,1742,4
242,77,322,4
243,77,69,4
244,77,1076,3
245,77,20,4
246,77,37,2
247,77,1217,4
248,77,167,4
249,77,769,4
250,77,1643,1
251,77,222,4
252,82,542,5
253,82,39,5
254,82,41,5
255,82,61,5
256,82,151,4
257,82,2068,4
258,82,55,5
259,82,445,4
260,82,410,5
261,82,40,5
262,82,24,3
263,82,22,5
264,82,31,5
265,82,58,5
266,82,48,5
267,82,5,5
268,82,243,5
